"","division","season","year","sex","cw","mature","ncrab","tows","ncrabS","npt","nptS"
"103","2HJ","Fall",1995,1,87,"Imm",4,116,7.5076723934126,0.0344827586206897,0.0647213137363155
"104","2HJ","Fall",1995,1,87,"Unk",1,116,1.87691809835315,0.00862068965517241,0.0161803284340789
"105","2HJ","Fall",1995,1,88,"Imm",5,116,9.34331581830753,0.0431034482758621,0.0805458260198925
"106","2HJ","Fall",1995,1,88,"Mat",1,116,1.86866316366151,0.00862068965517241,0.0161091652039785
"107","2HJ","Fall",1995,1,88,"Unk",1,116,1.86866316366151,0.00862068965517241,0.0161091652039785
"108","2HJ","Fall",1995,1,89,"Imm",1,116,1.86049853565412,0.00862068965517241,0.0160387804797769
"109","2HJ","Fall",1995,1,89,"Mat",4,116,7.44199414261646,0.0344827586206897,0.0641551219191074
"110","2HJ","Fall",1995,1,89,"Unk",1,116,1.86049853565412,0.00862068965517241,0.0160387804797769
"111","2HJ","Fall",1995,1,90,"Imm",5,116,9.26211613200515,0.0431034482758621,0.0798458287241823
"112","2HJ","Fall",1995,1,90,"Mat",2,116,3.70484645280206,0.0172413793103448,0.0319383314896729
"113","2HJ","Fall",1995,1,90,"Unk",1,116,1.85242322640103,0.00862068965517241,0.0159691657448365
"114","2HJ","Fall",1995,1,91,"Imm",6,116,11.0666175526798,0.0517241379310345,0.0954018754541366
"115","2HJ","Fall",1995,1,91,"Mat",3,116,5.53330877633992,0.0258620689655172,0.0477009377270683
"116","2HJ","Fall",1995,1,92,"Imm",15,116,27.5480499953718,0.129310344827586,0.237483189615274
"117","2HJ","Fall",1995,1,92,"Mat",4,116,7.34614666543249,0.0344827586206897,0.0633288505640732
"118","2HJ","Fall",1995,1,92,"Unk",3,116,5.50960999907437,0.0258620689655172,0.0474966379230549
"119","2HJ","Fall",1995,1,93,"Imm",8,116,14.6297879462012,0.0689655172413793,0.126118861605183
"120","2HJ","Fall",1995,1,93,"Mat",4,116,7.31489397310062,0.0344827586206897,0.0630594308025915
"121","2HJ","Fall",1995,1,93,"Unk",1,116,1.82872349327515,0.00862068965517241,0.0157648577006479
"122","2HJ","Fall",1995,1,94,"Imm",6,116,10.9259747647656,0.0517241379310345,0.0941894376272894
"123","2HJ","Fall",1995,1,94,"Mat",7,116,12.7469705588932,0.0603448275862069,0.109887677231838
"124","2HJ","Fall",1995,1,94,"Unk",1,116,1.82099579412759,0.00862068965517241,0.0156982396045482
"125","2HJ","Fall",1995,1,95,"Imm",6,116,10.8801158031265,0.0517241379310345,0.0937941017510905
"126","2HJ","Fall",1995,1,95,"Mat",4,116,7.25341053541767,0.0344827586206897,0.0625294011673937
"127","2HJ","Fall",1995,1,95,"Unk",1,116,1.81335263385442,0.00862068965517241,0.0156323502918484
"128","2HJ","Fall",1995,1,96,"Imm",9,116,16.2521377886151,0.0775862068965517,0.140104636108751
"129","2HJ","Fall",1995,1,96,"Mat",4,116,7.22317235049561,0.0344827586206897,0.0622687271594449
"130","2HJ","Fall",1995,1,96,"Unk",1,116,1.8057930876239,0.00862068965517241,0.0155671817898612
"131","2HJ","Fall",1995,1,97,"Imm",8,116,14.3865299257739,0.0689655172413793,0.124021809704947
"132","2HJ","Fall",1995,1,97,"Mat",4,116,7.19326496288694,0.0344827586206897,0.0620109048524736
"133","2HJ","Fall",1995,1,97,"Unk",2,116,3.59663248144347,0.0172413793103448,0.0310054524262368
"134","2HJ","Fall",1995,1,98,"Imm",6,116,10.7455271306419,0.0517241379310345,0.0926338545744991
"135","2HJ","Fall",1995,1,98,"Mat",8,116,14.3273695075225,0.0689655172413793,0.123511806099332
"136","2HJ","Fall",1995,1,99,"Imm",3,116,5.35082110790789,0.0258620689655172,0.0461277681716198
"137","2HJ","Fall",1995,1,99,"Mat",7,116,12.4852492517851,0.0603448275862069,0.107631459067113
"138","2HJ","Fall",1995,1,99,"Unk",1,116,1.7836070359693,0.00862068965517241,0.0153759227238733
"139","2HJ","Fall",1995,1,100,"Imm",7,116,12.4346102880111,0.0603448275862069,0.107194916275958
"140","2HJ","Fall",1995,1,100,"Mat",4,116,7.10549159314922,0.0344827586206897,0.0612542378719761
"141","2HJ","Fall",1995,1,100,"Unk",1,116,1.77637289828731,0.00862068965517241,0.015313559467994
"142","2HJ","Fall",1995,1,101,"Imm",1,116,1.76921790005486,0.00862068965517241,0.0152518784487488
"143","2HJ","Fall",1995,1,101,"Mat",7,116,12.384525300384,0.0603448275862069,0.106763149141241
"144","2HJ","Fall",1995,1,102,"Imm",2,116,3.52428235101687,0.0172413793103448,0.0303817444053178
